question,answer
What is Pseudoxanthoma elasticum.,"Pseudoxanthoma elasticum

A rare, genetic, metabolic disease with connective tissue and eye involvement, characterized by progressive ectopic mineralization and fragmented elastic fibers in the skin, retina and vascular walls.

UMLS: C0033847

Age of onset: All ages

Disease onset is typically in adolescence or young adulthood but may appear at any age. The first clinical sign is almost always small yellow papules on the nape and sides of the neck and in flexural areas. The papules subsequently coalesce, and the skin becomes loose and wrinkled. Dystrophic calcification of Bruch's membrane of the retina, revealed by angioid streaks at fundus examination, may trigger choroidal neovascularization and, ultimately, loss of central vision and blindness in late-stage disease. Lesions in small and medium-sized artery walls may result in intermittent claudication and peripheral artery disease. The disease may be limited to one organ (skin, eye, or blood vessels) in some patients or affect two or all three organs. Cardiac complications (angina pectoris, myocardial infarction) are relatively rare but, when present, deserve thorough investigation. Transient ischemic attacks and, more rarely, ischemic strokes have been reported. Gastrointestinal hemorrhage occurs in about 5% of cases. Calcification of other organs, such as the kidneys, breasts, pancreas, testicles, liver and spleen may be observed.

Diagnosis is suspected on clinical presentation of characteristic yellow cobblestone skin lesions at the predilection sites. Biopsy of the affected skin using elastin and calcium-specific staining reveals abundant morphological alterations with fragmented, clustered and calcified elastin fibers in the middle and lower dermis. Fundus examination reveals characteristic retinopathy with angioid streaks, drusen or maculopathy. Genetic testing for ABCC6 can confirm diagnosis or rule it out in clinically ambiguous cases.

Differential diagnosis of angioid streaks includes hemoglobinopathies (sickle cell disease, Beta-thalassemia, spherocytosis), dermal elastic tissue disorders (solar elastosis, perforating calcific elastosis, PXE-like late-onset focal dermal elastosis, PXE-like papillary dermal elastolysis) and other multisystem disorders (cutis laxa) as well as combined vitamin K-dependent clotting factors deficiency.

Prevalence is estimated at between 1/40,000 and 1/100,000 in the general population, with, for unknown reason, female predominance (female to male ratio 4:1).

The vast majority of cases are caused by biallelic pathogenic variants in the ABCC6 gene (16p13.11). Rarely, patients with pseudoxanthoma elasticum (PXE)-like clinical features harbor pathogenic variants in the ENPP1 gene (6q23.2), which is usually associated with generalized arterial calcification of infancy (GACI). Both genes are presumably part of one metabolic way, and the pathogenic variants are thought to lead to decreased circulating pyrophosphate (PPi), a major anti-mineralization factor.

The pattern of transmission is autosomal recessive, with a 25% risk of recurrence in siblings. Pseudo-dominant pattern of inheritance due to high frequency of ABCC6 heterozygotes (around 1/200), has been occasionally observed. Genetic counseling for affected families is recommended.

There is no specific therapy; the main symptomatic treatments include direct injection of vascular endothelial growth factor inhibitor in the eyes (for choroidal neovascularization), lifestyle, lipid-lowering and dietary measures (for reducing vascular risk factors), vascular surgery (for severe arteriosclerosis), and plastic surgery (for excess skin folds).

It is a life-long progressive disease with high debilitating potential, but the life-span is normal in most patients."
What is Congenital ptosis.,"Congenital ptosis

Congenital ptosis is characterized by superior eyelid drop present at birth.

UMLS: C0266573

Age of onset: Infancy, Neonatal

Prevalence is unknown.

Isolated congenital ptosis is unilateral in 75% of the cases.

Two patterns of inheritance have been described in familial cases: autosomal dominant and X-linked.

A medical or surgical treatment can potentially be proposed, depending on the severity of ptosis."
What is Scarring in glaucoma filtration surgical procedures.,"Scarring in glaucoma filtration surgical procedures

A rare ophthalmic condition characterized by formation of excessive scar tissue between the conjunctiva/Tenon capsule and the sclera at the surgical site following glaucoma filtration surgery. Scarring can occur months or years after surgery, resulting in treatment failure with poor postoperative control of intraocular pressure and, potentially, loss of vision.

UMLS: C5681395

Age of onset: All ages"
What is Viral hemorrhagic fever.,"Viral hemorrhagic fever

A rare group of infectious disease characterized by malaise, fever, exhaustion, vascular permeability, decreased plasma volume, coagulation abnormalities and varying degrees of hemorrhage. Severity of hemorrage is affected by a variety of contributing factors (depending on the pathogen and the host, whether it is primary infection or reinfection) and severly ill patients often show signs of bleeding under skin, in internal organs and in orifices. They may develop circulatory collapse, multisystem organ failure, shock, nervous system malfunction, coma, delirium, and seizures. A variety of rashes and ocular manifestations can also be associated with the diseases. They are caused by several different families of RNA viruses, including members of arenaviruses, bunyaviruses, filoviruses and flaviviruses that are capable of causing high morbidity and mortality.

UMLS: C0019104

Age of onset: All ages"
What is Pontocerebellar hypoplasia type 1.,"Pontocerebellar hypoplasia type 1

A severe, genetic form of pontocerebellar hypoplasia (PCH) characterized by spinal cord anterior horn cell degeneration in addition to pontocerebellar hypoplasia. Clinically, patients manifest with a severe global development deficit that is evident early on from difficulties in feeding and swallowing

UMLS: C5442006

Age of onset: Neonatal

Prenatal detection of PCH by ultrasound is unreliable, since cerebellar abnormalities are often not detected at time of the routine screening for structural abnormalities at 20 weeks of gestation. In families in which the causal mutation is detected, prenatal testing or pre-implantation genetic diagnosis (PGD) should be offered.

The clinical course is severe. Neonates with PCH1 present with hypotonia, impaired swallowing with subsequent feeding difficulties, and progressive, postnatal microcephaly. A severe psychomotor deficit subsequently becomes apparent. If patients survive past infancy, patients have oculomotor manifestations including strabismus, nystagmus and oculomotor apraxia. The most severe cases of PCH1 manifest prenatally with polyhydramnios and arthrogryposis multiplex congenital.

MRI shows pontocerebellar hypoplasia with cerebellar hemispheres variably affected. Variable findings include spinal anterior horn degeneration and absence of pontine hypoplasia. Lack of awareness often results in a delay in diagnosis or a diagnosis is never made.

PCH type 2 and 4 (TSEN54-related PCH) can be considered. PCH2 is the most common type of PCH, characterized by dyskinesia and seizures. Brain MRI typically shows pontocerebellar hypoplasia with relative sparing of the vermis compared to the hemispheres, similar to PCH1. In PCH1 however, the pons may be unaffected while in PCH2 the ventral pons is flattened. PCH4 is a more severe than PCH2 and often associated with congenital contractures and polyhydramnios. Spinal Muscular Atrophy (SMA) type 1, caused by biallelic pathogenic variants in SMN1, is characterized by anterior horn cell degeneration, similar to that observed in PCH1. Cognitive function is normal in SMA.

About 115 patients with pontocerebellar hypoplasia type 1 (PCH1) have been reported.

PCH1 is genetically heterogeneous. Recessive mutations in the EXOSC3 gene (9p13.2) are found in 40-50% of patients and are the most prevalent cause of PCH1. Mutations in EXOSC8 (13q13.3) and EXOSC9 (4q27) are recently described as a rare cause of PCH1. Mutations in 3 families have been identified in SLC25A46 (5q22.1) and VRK1 (14q32.2) in 2 families. In single cases, recessive mutations have been found in TSEN54 (17q25.1) and RARS2 (6q15). From the small groups reported, severity is suggested to depend on genotype.

PCH1 is inherited in an autosomal recessive manner. Genetic counseling is recommended for families of individuals with PCH1. For parents of an affected individual, there is a 25% recurrence risk of having another affected child.

Treatment is symptomatic in PCH.

Prognosis is poor; the majority of patients will only live into infancy. Patients with EXOSC3 mutation have a less severe prognosis."
What is Denys-Drash syndrome.,"Denys-Drash syndrome

A rare genetic, syndromic glomerular disorder characterized by the association of nephropathy presenting as persistent proteinuria or overt nephrotic syndrome, Wilms tumor and genitourinary structural defects. In addition, disorders of testicular development are common in subjects with 46,XY karyotype.

UMLS: C0950121

Age of onset: Adolescent, Childhood, Infancy, Neonatal

Undervirilized / ambiguous genitalia in 46,XY individuals may sometimes be noted on prenatal US. Prenatal genetic testing is possible if the pathogenic variant has been previously identified in a family.

Presentation is typically of infantile nephrotic syndrome progressing to end-stage renal disease (ESRD) within 1 to 15 years. Alternatively, initial clinical presentation may be with ambiguous external genitalia (e.g. hypospadias, cryptorchidism) in 46,XY individuals or uni- or bilateral Wilms tumor (WT). Affected individuals with 46,XY karyotype may have a wide range of disorders of testicular development ranging from undervirilized male to complete sex reversal, and carry a risk of developing gonadoblastoma in dysgenic gonads. Congenital anomalies of kidney and urinary tract (CAKUT) including duplex or horseshoe kidney, urogenital sinus and vesico-ureteric reflux, are present in ~10% of individuals. Genotype-phenotype correlations have been described; in particular, missense pathogenic variants affecting DNA-binding are associated with severe nephropathy and progression to ESRD within 1-3 years, and truncating variants are associated with a high risk (>85%) of developing WT and having a CAKUT (25%) while proteinuria is typically diagnosed in the second decade of life .

Diagnosis is suspected on infantile presentation of glomerulopathy with either urogenital abnormalities and/or WT. Careful renal ultrasonography (US) for WT should be performed in any subject found to have early onset nephrotic syndrome. Diffuse mesangial sclerosis is the classic finding on renal biopsy, although other types of nephropathy are common. Imaging is used to assess internal genitalia. Identification of WT1 pathogenic variant confirms diagnosis. Karyotype testing is recommended for all individuals with ambiguous genitalia or gonadal dysgenesis.

The differential diagnosis includes WAGR syndrome, Frasier syndrome, Meacham syndrome, congenital nephrotic syndrome of the Finnish type, idiopathic nephrotic syndrome, and isolated diffuse mesangial sclerosis

The prevalence is not known. Fewer than 300 cases have been reported in the literature to date.

Constitutional pathogenic variants in the Wilms tumor predisposing genes, WT1 (11p13), most of which are located in exons 8 and 9, have been described in the majority of individuals. WT1 encodes for a protein that serves as regulatory transcription factor important both for renal and gonadal development.

The pattern of inheritance is autosomal dominant with non-full penetrance and variable expressivity. Most of the patients have a de novo mutation. Precise evaluation of the risk of reoccurrence requires genetic testing of the index case and his/her biological parents. Where karyotyping is indicated, pre-test genetic counseling on the possibility of detecting sex reversal is recommended.

Multidisciplinary management should involve a nephrologist, urologist, endocrinologist, oncologist and surgeons. The nephrotic syndrome is resistant to corticosteroids and immunosuppressive drugs. Chronic renal failure is managed initially with nephroprotective medical therapy, followed by renal replacement therapies or transplantation when ESRD occurs. Patients with ESRD are recommended to undergo bilateral nephrectomy at the time of placement of a peritoneal dialysis catheter or renal transplantation to prevent WT development/relapse. Early gonadectomy should be considered in 46,XY with complete gonadal dysgenesis in order to prevent tumorigenesis. WT is treated by nephrectomy with or without chemotherapy.

The prognosis varies widely with most of the subjects living into adulthood. The primary cause of death is renal failure and disseminated WT but respiratory and heart failure have also been reported. Nephrotic syndrome does not recur after kidney transplantation. 46, XY individuals with complete gonadal dysgenesis are infertile."
What is Argininemia.,"Argininemia

A rare autosomal recessive amino acid metabolism disorder characterized by variable degrees of hyperammonemia leading to progressive loss of developmental milestones and spasticity in the absence of treatment.

UMLS: C0268548

Age of onset: Childhood, Infancy

Prenatal diagnosis is possible if there is an index case in the family. Genetic testing is recommended if PVs are known; alternatively, postnatal arginine determination can be performed. Successful enzyme replacement therapy with pegzylarginase reduces the justification for prenatal diagnostic procedures.

The clinical course of the disease is highly variable and some symptoms differ from those observed in other classical urea cycle defects. The risk of metabolic decompensation with hyperammonemia — which may occur in the neonatal period and manifest as coma, central dysregulation, hyperventilation and epileptic seizures — is lower. Most patients are asymptomatic from birth to toddlerhood. Typically, the first symptoms are observed at age 1-3 years. Clinical manifestations include spasticity, predominantly affecting lower extremities, which may later progress to paraplegia, reduced mobility and gait disturbances, intellectual disability, developmental delay and even loss of developmental milestones. Attention deficit hyperactivity disorder (ADHD) and aggressive behavior are frequently observed. Complete loss of bowel and bladder control may occur. The disease is highly progressive in most patients. As extracerebral manifestation, liver dysfunction may be observed. Life expectancy is limited in most patients.

The presentation of hyperammonemia or spasticity in a patient may prompt a blood amino acid analysis, revealing highly elevated arginine levels, which is pathognomonic for ArgD. Molecular genetic testing typically identifies two pathogenic variants (PVs) in the ARG1 gene. Enzyme analysis of arginase in erythrocytes is rarely performed but may be helpful when genetic testing detects variants of uncertain significance (VUS). Newborn mass screening for early detection of the disease is not widely available yet.

If hyperammonemia is the primary finding, primary hyperammonemia (six enzymes and two transporter deficiencies of urea cycle) and secondary hyperammonemic conditions such as organic acidurias, carbonic anhydrase 5A deficiency, mitochondriopathies and liver failure should be considered. If spasticity is the clinical hallmark, static spastic diplegia without progression (cerebral palsy) due to brain injury or other forms of spastic paraplegia must be excluded.

The incidence of this condition is estimated at 1/800,000-1,000,000. As newborn screening for argininemia (or arginase-1 deficiency; ArgD) is not common, its incidence is probably underestimated. Males and females are equally affected.

ArgD is due to deficiency of arginase 1, encoded by the ARG1 gene. Arginase 1 is one of six enzymes of the urea cycle that detoxify ammonia. Its dysfunction results in hyperammonemia, especially during catabolic episodes, and leads to hyperargininemia. Elevated arginine levels and its derivatives, such as the epileptogenic guanidinoacetate, cause direct neurotoxicity.

Genetic counseling is recommended for family planning. As there is some genotype-phenotype correlation, parents may be counselled regarding the severity of the disease. If both parents are carriers of a pathogenic variant, the risk to future offsprings is 25%.

Classical treatment involves reducing arginine concentration and ammonia levels in blood by a low-protein diet supplemented with essential amino acids and administration of scavenger drugs like phenylbutyrate and/or benzoate, through a preparation of sodium phenylbutyrate or glycerophenylbutyrate (which has better pharmacokinetic properties), to enable excretion of nitrogen via urine independently of the deficient urea cycle. Supportive measures like physio-/occupational-therapy are offered. In patients suffering from frequent hyperammonemic crises, liver transplantation is considered. Recently, pegzylarginase, administered intravenously or subcutaneously once a week, has been approved as an enzyme replacement therapy.

Classical treatments often fail to prevent neurological symptoms, leading to a guarded prognosis. Life expectancy is reduced. Enzyme therapy may improve outcomes if started early. Newborn screening is crucial for timely therapy initiation, as early clinical diagnosis is difficult due to unspecific symptoms."
What is Thyrotoxic periodic paralysis.,"Thyrotoxic periodic paralysis

Thyrotoxic periodic paralysis (TPP) is a rare neurological disease characterized by recurrent episodes of paralysis and hypokalemia during a thyrotoxic state.

UMLS: C0268446

Age of onset: Adult

TPP manifests as recurrent episodes of acute muscular weakness of the four extremities that vary in severity from paresis to complete paralysis. Recovery occurs within 2-72 hours. Attacks typically occur at night and may be preceded by muscle cramps, aches and stiffness. Ocular, bulbar and respiratory involvement has also been reported but is rare. Attacks are triggered by ingestion of a high carbohydrate load or strenuous physical activity followed by a period of rest. Episodes only occur when patients are thyrotoxic but symptoms and classical signs of hyperthyroidism are often absent at the time of the first attack. TPP can occur in association with any cause of hyperthyroidism, but is most commonly associated with Graves' disease.

Biochemical studies are essential for diagnosis, with mild-to-severe thyrotoxicosis and hypokalemia during attacks being the major findings. Other anomalies may include hypophosphatemia and hypomagnesemia, without changes in acid-base balance. EMG reveals myopathic changes during attacks and muscle excitability anomalies after a prolonged exercise test. ECG anomalies are also noted. Thyrotoxicosis is the key finding for distinguishing TPP from other causes of hypokalemic periodic paralysis (HOP), such as familial HOP (FHOP), and from other hypokalemic disorders with a transcellular potassium shift, and excessive renal potassium wasting or gastrointestinal losses.

The differential diagnosis may also include Guillain-Barré syndrome, transverse myelitis, spinal cord compression and hysteria, as well as muscle weakness and fatigue associated with hyperthyroidism in patients with thyrotoxic myopathy or myasthenia gravis.

It is most common in Asian males (with male-to-female ratios ranging from 17:1 to 70:1) during the third decade of life: the annual incidence in Chinese and Japanese thyrotoxicosis patients is estimated at around 1/50, whereas it is estimated at 1-2/1,000 among non-Asian thyrotoxicosis patients.

The pathogenesis remains unclear. Genetic predisposition is thought to play a role in the pathogenesis of TPP and single nucleotide polymorphisms (SNPs) of the CACNA1S (1q32) and GABRA3 (Xq28) genes have been associated with TPP susceptibility in some Asian populations. Hypokalemia is the consequence of an extra- to intracellular potassium shift due to an increase in Na/K-ATPase pump activity, either as a direct response to thyroid hormone or indirectly via adrenergic stimulation, insulin or exercise.

TPP usually occurs sporadically

Management of TPP includes definitive control of hyperthyroidism, prevention of attacks with propranolol and avoidance of precipitating factors. Potassium administration during attacks may prevent cardiac arrhythmias and hasten the recovery from paralysis.

The prognosis for patients is good and TPP resolves when euthyroid status is achieved."
What is Marinesco-Sjögren syndrome.,"Marinesco-Sjögren syndrome

A rare autosomal recessive disorder characterized by cerebellar ataxia, early-onset bilateral cataracts, chronic myopathy; additional features are delayed motor development and variable intellectual disability, hypergonadotrophic hypogonadism and delayed puberty, and short stature.

UMLS: C0024814

Age of onset: Childhood, Infancy

Preimplantation or prenatal diagnosis are possible where the pathogenic variants have previously been identified in the index case and the parents.

Hypotonia is usually present in early infancy, and muscle weakness is noticed during the first decade. Truncal ataxia, dysdiadochokinesia, nystagmus and dysarthria appear later. Cataracts can develop rapidly. Less constant features are skeletal deformities, somatic growth delay, and hypergonadotropic hypogonadism. Developmental milestones are often delayed and cognition varies from normal to severe intellectual disability. Cerebellar atrophy is observed on magnetic resonance imaging in all patients. Serum creatine kinase levels are usually only slightly or moderately elevated. Electromyography shows myopathic features. Electron microscopy of a muscle biopsy typically shows vacuolar myopathy and characteristic perinuclear membrane-like structures.

Diagnosis is based on typical clinical findings and/or biallelic pathogenic variants in the SIL1 gene. Ophthalmologic examination should be performed to detect cataract. Magnetic resonance imaging allows investigation of cerebellar atrophy particularly involving the vermis. Electron microscopy shows findings specific to Marinesco-Sjögren syndrome in muscle biopsy, while light microscopy does not.

Differential diagnosis includes congenital cataracts-facial dysmorphism-neuropathy syndrome, congenital muscular dystrophy with cataracts and intellectual disability due to INPP5K gene variant, autosomal recessive spastic paraplegia type 46, autosomal recessive cerebellar ataxia with late-onset spasticity, ADan amyloidosis and dysequilibrium syndrome.

Prevalence is not known, most likely in the 1-9/1,000,000 range. The estimated worldwide carrier frequency is 1:700, and in Finland it is 1:96. Disease onset occurs in infancy.

Marinesco-Sjögren syndrome is caused by biallelic pathogenic variants in the SIL1 gene. Most of pathogenic variants are missense, but frameshift, nonsense and splice site variants have also been reported. SIL1 (nucleotide exchange factor SIL1) is present in the endoplasmic reticulum and plays a role as a co-chaperon in protein translocation into the endoplasmic reticulum, protein folding, control of degradation of misfolded proteins and response to cell stress. As a consequence, mutations in SIL1 lead to disturbance in proper folding of proteins and subsequently cell destruction.

Transmission is autosomal recessive. Genetic counseling should be offered to at-risk couples (both individuals are carriers of a disease-causing variant). The risk of recurrence of having an affected child is 25% at each pregnancy.

Treatment is symptomatic. Cataracts often require surgical removal to preserve vision. Hormonal replacement therapy may be needed if hypogonadism is present. Physical and occupational therapy are crucial.

Patients can survive to old age, with varying disability."
What is Cerebrotendinous xanthomatosis.,"Cerebrotendinous xanthomatosis

Cerebrotendinous xanthomatosis (CTX) is an anomaly of bile acid synthesis characterized by neonatal cholestasis, childhood-onset cataract, adolescent to young adult-onset tendon xanthomata, and brain xanthomata with adult-onset neurologic dysfunction.

UMLS: C0238052

Age of onset: Infancy, Neonatal

Antenatal diagnosis can be established by analysis of embryonic tissue when there has been a previously identified sibling.

The initial clinical manifestation may be neonatal cholestasis or chronic diarrhea from infancy. In 75% of cases, cataract is the first finding, often appearing in childhood. Infants may present with cholestasis and liver dysfunction. Xanthomata may appear in the 2nd or 3rd decade of life, in the Achilles and other tendons (elbow, hand, patella, neck). Some patients show intellectual impairment from infancy, but most have normal or subnormal intellectual function until puberty. Adult-onset progressive neurologic dysfunction includes dementia, psychiatric disturbances, pyramidal and/or cerebellar signs, seizures, and neuropathy. Dementia occurs in the 20s in over 50% of cases. Neuropsychiatric symptoms such as behavioral changes, hallucinations, agitation, aggression, depression, and suicidal tendencies may be prominent. Pyramidal signs and/or cerebellar ataxia are present in the 20s or 30s. Patients may experience extrapyramidal manifestations (dystonia and atypical parkinsonism), and peripheral neuropathy.

Mass spectrometry analysis of urine enables early diagnosis in children by showing characteristic bile alcohol metabolites. Diagnosis in adults is based on two of the following criteria: intractable diarrhea, presenile cataracts, tendinous xanthomata and neurologic abnormalities, and abnormal amounts of cholestanol in serum and tendons. Plasma cholesterol concentration may be low or normal. MRI shows bilateral hyperintensity of the dentate nuclei and cerebral and cerebellar white matter. Molecular genetic testing in a certified laboratory may be used to confirm the diagnosis.

Differential diagnoses include other causes of xanthomata such as sitosterolemia and hyperlipemia (especially type IIa, also known as familial hypercholesterolemia), and for infants presenting with cholestasis, all other causes of neonatal cholestasis.

More than 300 patients have been reported worldwide. Prevalence is estimated to be approximately 1/50,000 among Caucasians.

CTX is caused by mutations in the sterol 27-hydroxylase gene (CYP27A1; 2q33-qter). Sterol 27-hydroxylase catalyzes the first step in the oxidation of the side-chain of sterol intermediates in the bile acid synthesis (BAS) pathway. Defective enzymatic function disrupts bile acid synthesis leading to cholesterol and cholestanol deposits, which result in a degenerative process.

Transmission is autosomal recessive. Genetic counseling should be offered to affected families.

First-line treatment is based on chenodeoxycholic acid (CDCA) replacement therapy, which normalizes BAS and cholestanol concentrations, and improves neurological symptoms. Inhibitors of HMG-CoA reductase may also be used alone or in combination with CDCA, although they may induce muscle damage. Cataract extraction is typically required by age 50 years. Cholic acid treatment has also been used. It is not as effective as CDCA in suppressing BAS and the production of cholestanol, but lacks the hepatotoxicity of CDCA.

Early diagnosis and treatment are crucial to prevent progressive accumulation of cholestanol and cholesterol: disease progression may be halted and in some cases reversed. Treated patients may have a normal lifespan. In untreated patients, life expectancy is 50 to 60 years. Some early deaths in infancy have also been reported."
